publication_id,title,type.category,type.name,year,detail,abstract
10011,Admissibility of the Likelihood Ratio Test When the Parameter Space Is Restricted Under the Alternative,Journal,Econometrica,2001,64: 705–718,"Suspendisse tincidunt rhoncus lacinia. Ut suscipit tortor vitae quam malesuada in ornare lacus posuere. Morbi neque turpis, ultrices et semper sed, accumsan nec lectus. Donec consectetur elit ac mi pharetra vitae congue lacus accumsan. Duis sit amet tortor nec eros fermentum rhoncus nec ut turpis. Praesent et neque quis est pulvinar bibendum nec a massa. Maecenas eros dolor, bibendum sed luctus nec, aliquam et nunc. Etiam purus felis, hendrerit ut lacinia nec, euismod nec libero."
10012,Asymptotic Normality of Series Estimators for Nonparametric and Semiparametric Regression Models,Journal,Econometrica,2001, 59: 307-345,"Suspendisse potenti. Nam dapibus, nisi tristique pharetra dignissim, velit purus rhoncus nulla, sed laoreet magna tortor sit amet felis. Donec vestibulum dictum velit, vel fermentum nisl tempor convallis. Donec sit amet odio ante, eu vehicula arcu. In vehicula nunc vel ipsum sodales condimentum. Duis vestibulum rutrum justo, a facilisis erat congue vel. Phasellus pulvinar diam nisl. Maecenas tempus sagittis odio, a eleifend libero congue quis. Aenean ligula quam, consequat ac fringilla at, mattis ut eros. Maecenas bibendum libero quam, et sodales lacus."
10013,Asymptotics for Semiparametric Econometric Models via Stochastic Equicontinuity,Journal,Econometrica,2001, 62: 43-72,"Duis eu purus ligula, non accumsan nunc. Etiam lacus odio, feugiat et dictum et, iaculis nec mi. Vestibulum eget lectus est. Aliquam rutrum tincidunt tellus non porttitor. Pellentesque enim elit, varius eu venenatis vitae, imperdiet et ante. Ut nibh risus, dictum vel tristique nec, ornare at leo. Nullam vel nibh ipsum. Duis ultricies varius mi, vel malesuada nisl laoreet id. Mauris dolor dui, mattis non porttitor a, eleifend vel ante. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
10014,Consistent Model and Moment Selection Criteria for GMM Estimation with Applications to Dynamic Panel Models,Journal,Journal of Econometrics,2001,101: 123-164,"In hac habitasse platea dictumst. Donec et turpis nulla. Donec eros turpis, tristique vitae aliquet mollis, cursus gravida dolor. Maecenas nunc nisl, fringilla quis luctus ut, adipiscing vel quam. Aenean iaculis commodo sodales. Suspendisse volutpat lectus felis. Praesent gravida libero sed elit mollis eu suscipit sem tristique. Pellentesque vestibulum rhoncus eros, vitae fringilla arcu convallis id."
10015,E-Commerce User Experience,Book,Nielsen Norman Group,2001,ISBN 0-9706072-0-2,"Maecenas a justo in mi cursus tristique in vel enim. Cras adipiscing sem sit amet neque euismod euismod. Mauris est mauris, eleifend a viverra venenatis, fringilla tincidunt felis. Curabitur bibendum eros vitae libero volutpat luctus. Aenean nulla augue, sollicitudin sit amet condimentum sit amet, lacinia in purus. In quis tortor nec lacus ultrices sodales. In eu leo libero. Phasellus dui diam, consequat id pulvinar sed, porttitor ac eros. Phasellus sed odio ac est suscipit bibendum. Aenean condimentum, mi et congue convallis, nulla nunc ultrices arcu, vitae imperdiet sapien erat quis est. In eget augue tellus. Nullam id quam ipsum, et sodales lectus. Nulla at metus eros, eu aliquet ligula. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus luctus erat congue mauris imperdiet quis convallis nulla ultricies."
10016,Evaluation of a Three-step Method for Choosing the Number of Bootstrap Repetitions,Journal,Journal of Econometrics,2001, 103: 345-386,"Suspendisse aliquet tincidunt pulvinar. Nullam vestibulum leo sit amet justo feugiat eget interdum orci dapibus. Vivamus elementum sem non tortor blandit quis pretium neque ultricies. Nunc nec enim sem, vitae aliquet enim. Duis pharetra, libero eu interdum suscipit, tellus sapien eleifend risus, eget ullamcorper leo libero in lorem. Ut interdum iaculis lorem sit amet fringilla. Nam vel tortor mi, nec tincidunt erat. Suspendisse viverra lorem dolor. Vivamus non malesuada elit. Cras aliquam erat eget nisl tempus ullamcorper. Etiam id ligula sit amet dolor hendrerit mollis. Sed dictum mattis lectus ac venenatis. Nunc vel felis mauris, placerat dictum ipsum. Nam sollicitudin sollicitudin libero ut sagittis. Donec eros augue, pharetra id volutpat at, commodo sed nisi."
10017,Exactly Median-unbiased Estimation of First Order Autoregressive/Unit Root Models,Journal,Econometrica,2001, 61: 139-165,"Vivamus velit sapien, scelerisque porta suscipit sit amet, pretium a urna. Phasellus a lobortis lacus. Maecenas sit amet orci non libero sollicitudin adipiscing. Nullam volutpat placerat erat, tempor auctor eros sagittis et. Integer bibendum faucibus aliquet. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Cras pharetra imperdiet lectus ac tincidunt. Nunc vehicula lectus vel massa varius a sodales quam sollicitudin. Vestibulum risus lectus, aliquam vel consequat id, ullamcorper et nisi. Donec commodo, erat vehicula bibendum suscipit, tortor nunc lacinia orci, in scelerisque arcu ipsum eget ligula. Pellentesque rutrum vestibulum purus eget varius. Sed sit amet urna at nisi sagittis auctor. Donec sed nunc mi, eu suscipit odio. Curabitur ut mi mi."
10018,Heteroskedasticity and Autocorrelation Consistent Covariance Matrix Estimation,Journal,Econometrica,2001, 59: 817-858,"Etiam scelerisque arcu non nunc malesuada mollis. Nunc blandit metus in quam rutrum sodales. Mauris eu leo lacus. In aliquet pretium felis quis euismod. Mauris et augue turpis, sit amet eleifend nisl. Fusce laoreet gravida ante, sed tempor quam adipiscing at. Phasellus sed consequat purus."
10019,Homepage Usability: 50 Websites Deconstructed,Book,New Riders Press,2001,ISBN 0-73571-102-X,"Quisque lacinia lacinia pulvinar. Suspendisse sed lectus augue, sed egestas lectus. Sed eu elit a urna placerat dictum in a nisl. Curabitur ante augue, aliquam eget rutrum ut, tempus quis massa. Morbi eget feugiat nisi. Nunc dignissim ornare nisl, nec feugiat neque condimentum sit amet. Sed aliquam tortor in lorem sodales ac mattis ante molestie. Pellentesque eget est orci. Aenean turpis orci, consectetur a suscipit ac, ultrices sit amet ante. Phasellus tristique mauris sed augue cursus condimentum. Donec condimentum eleifend sem a venenatis. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Quisque pharetra hendrerit tempor. Vestibulum massa risus, commodo in aliquam nec, tempus eget nunc."
10020,Testing When a Parameter Is on the Boundary of the Maintained Hypothesis,Journal,Econometrica,2001, 69: 683:734,"Sed facilisis, turpis et elementum tincidunt, libero diam rhoncus mi, nec mattis eros neque quis quam. Praesent facilisis, eros sed semper imperdiet, sem dolor lobortis sem, non scelerisque dui dui quis arcu. Sed sit amet ipsum sapien, vel dapibus eros. Nunc viverra pharetra egestas. Donec eleifend dui at metus dictum tincidunt. In molestie eros ultricies diam pellentesque ac elementum augue pharetra. In hac habitasse platea dictumst. Aliquam malesuada, sapien auctor rhoncus iaculis, enim tellus rhoncus metus, a fringilla nunc felis ac lectus. Morbi posuere felis lacus, vitae tristique lorem. Sed tempus porttitor odio sit amet vulputate. Etiam sem nibh, sollicitudin at tempus et, congue in enim. Aenean vel leo elit, quis semper nisl. Nulla sem leo, pretium at eleifend eu, gravida quis velit. Mauris odio massa, aliquet at hendrerit sed, interdum vitae elit. Morbi sit amet elit in libero fringilla ullamcorper."
10021,Tests for Parameter Instability and Structural Change with Unknown Change Point,Journal,Econometrica,2001, 61: 821-856,"Suspendisse vehicula facilisis molestie. Nulla sodales aliquet libero, quis faucibus mauris pharetra eu. Morbi laoreet dapibus mollis. Morbi tristique molestie massa, semper tempor risus ornare eget. Nunc nec dui neque. Nam nec velit vitae nulla gravida adipiscing. Integer ultrices est in odio vulputate dignissim. Integer id nunc vel magna facilisis lobortis. Morbi pulvinar nisl a nibh cursus ac euismod nunc porta. Sed sit amet sem ipsum, a fringilla felis. Sed nec tellus sit amet ante elementum mollis quis ut ante. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc pretium ipsum vel felis sollicitudin laoreet. Mauris ligula nibh, dictum id facilisis in, feugiat sed tellus."
10022,A Nearly Independent but Non-Strong Mixing Triangular Array,Journal,Journal of Applied Probability,2002, 22: 729-731,"Vestibulum mattis orci at eros sagittis a iaculis ligula porta. Pellentesque vel velit mauris, quis vehicula libero. Phasellus non purus lectus. In cursus faucibus massa quis euismod. Aliquam erat volutpat. Fusce pellentesque mi sit amet felis suscipit blandit non sit amet enim. Sed dignissim tristique augue accumsan semper. Nulla posuere nibh id turpis interdum aliquet. Aliquam hendrerit enim libero."
10023,A Note on the Unbiasedness of Feasible GLS Quasi-Maximum Likelihood Robust Adaptive and Spectral Estimators of the Linear Model,Journal,Econometrica,2002, 54: 687-698,"Nulla consequat nisi in orci ultrices imperdiet. Phasellus vitae orci risus. Nunc at leo auctor magna dictum hendrerit at lacinia neque. Curabitur congue cursus lacus at vehicula. Suspendisse auctor laoreet turpis quis fringilla. Praesent vulputate tristique ipsum fringilla mollis. Cras at nisl ut purus egestas interdum. Nullam fermentum, diam bibendum posuere aliquet, velit diam hendrerit justo, at consectetur nisi diam ac quam. Sed fringilla sollicitudin leo, non auctor odio blandit quis. Quisque laoreet tincidunt aliquet. Pellentesque tempus vehicula dolor venenatis semper. Suspendisse potenti. Nunc metus tellus, ultricies non dapibus quis, aliquet vitae sem. In metus nisl, sodales vel pellentesque egestas, pharetra id urna."
10024,Chi-Square Diagnostic Tests for Econometric Models: Theory,Journal,Econometrica,2002, 56: 1419-1453,"Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Maecenas magna mi, venenatis et viverra et, suscipit id nulla. Praesent tincidunt varius iaculis. In laoreet vehicula purus a iaculis. Proin aliquam eleifend mollis. Nullam at mi ut nisl pulvinar adipiscing. Nam erat enim, blandit vulputate pellentesque quis, cursus eget nisl. Nulla dolor odio, pretium id consectetur eget, pulvinar posuere elit. Duis non eros est, ut placerat leo. Phasellus neque nunc, bibendum sed consectetur eu, placerat a lacus. Integer dapibus ultrices risus. Integer cursus condimentum justo eu congue. Donec gravida velit sed tellus porttitor rutrum. Nulla eleifend ipsum in est tincidunt tincidunt."
10025,Consistency in Nonlinear Econometric Models: A Generic Uniform Law of Large Numbers,Journal,Econometrica,2002, 55: 1465–1472,"Donec elit tellus, porttitor vel accumsan eu, cursus sed sapien. Nam a risus eget nisi pulvinar vestibulum quis sit amet metus. In lobortis dui vitae leo dictum non fermentum odio ultricies. Etiam eu velit odio, quis laoreet lacus. Praesent rutrum tempor feugiat. Phasellus tempus consequat libero, bibendum condimentum nisl gravida at. Integer nunc ante, imperdiet quis tristique ultricies, sodales et neque. Nulla ac dui et nulla adipiscing lobortis quis id sem. Proin iaculis, purus nec hendrerit elementum, neque magna accumsan purus, nec semper risus massa vel risus. Aliquam lorem diam, consectetur non tincidunt sed, volutpat in orci. Curabitur sed dictum odio. Quisque egestas, tortor ut condimentum varius, purus augue scelerisque ante, et eleifend purus risus sit amet diam."
10026,Coordinating User Interfaces for Consistency,Book,Academic Press,2002, ISBN 0-12-518400-X,"Morbi malesuada erat ut turpis pharetra non volutpat eros adipiscing. Pellentesque id feugiat augue. Fusce placerat ante nec justo condimentum tristique. Suspendisse ultrices cursus dui, non porttitor lorem tincidunt quis. Pellentesque nec felis ac eros commodo facilisis. Phasellus malesuada volutpat lacus, sed lobortis risus ornare et. Vestibulum ut massa ligula, id porta metus. In quis felis erat. Aliquam erat volutpat. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Quisque et porta arcu."
10027,Equivalence of the Higher-order Asymptotic Efficiency of k-step and Extremum Statistics,Journal,Econometric Theory,2002, 18: 1040-1085,"Sed elit sem, condimentum id mattis semper, euismod nec velit. Morbi pellentesque, nibh vitae volutpat adipiscing, nisi nulla tincidunt elit, a gravida ante urna ut metus. Suspendisse euismod augue sit amet tortor molestie sed tristique augue euismod. Aenean id vulputate diam. Vivamus viverra odio in diam rhoncus ultricies. Donec quis tortor id augue facilisis imperdiet. Nulla dignissim lobortis vestibulum. Nullam dui nisl, tincidunt ac tristique sed, ultrices nec tellus. Phasellus dictum ultrices augue vel ultricies. Nam condimentum erat id tellus vestibulum congue. Nam imperdiet purus et sem suscipit pharetra. Quisque nec sagittis ipsum. Vestibulum sed diam nulla, id luctus nisi. Nullam in urna libero, at rutrum nunc."
10028,Generalized Method of Moments Estimation When a Parameter Is on a Boundary,Journal,Journal of Business and Economic Statistics,2002,20: 530–544,"Ut posuere leo molestie est auctor ornare. Cras viverra erat sed neque vulputate bibendum. Nulla vitae sodales tortor. Morbi turpis nunc, elementum eget vehicula adipiscing, porttitor eget urna. Sed interdum vestibulum turpis in dapibus. Lorem ipsum dolor sit amet, consectetur adipiscing elit. In nec neque justo, sit amet pharetra quam. Quisque sollicitudin luctus ullamcorper. Sed condimentum quam at erat lobortis sit amet sagittis nisi dapibus. In eu lorem sit amet odio vestibulum euismod interdum sodales tortor. Mauris eget nulla quam, nec iaculis dolor. Nulla ut eros eget diam tincidunt porttitor ac ut ipsum."
10029,Higher-order Improvements of a Computationally Attractive k-step Bootstrap for Extremum Estimators,Journal,Econometrica,2002, 70: 119-162,Sed tristique rutrum porta. Praesent volutpat neque vel metus condimentum sed blandit nisi dictum. Vestibulum ut aliquam lectus. In eget odio eu velit condimentum porttitor. Nunc sed massa a eros ultrices fringilla. Integer non nunc vel lectus congue tristique quis sit amet nisi. Nulla et felis vitae odio mollis blandit. Pellentesque sit amet convallis dui.
10030,On the Number of Bootstrap Repetitions for BCa Confidence Intervals,Journal,Econometric Theory,2002, 18: 962-984,"Mauris suscipit cursus dui, quis luctus velit commodo vel. Suspendisse aliquet orci in diam accumsan id imperdiet enim vehicula. Donec eu augue at tortor bibendum molestie fringilla a turpis. Cras ultricies, sapien eget blandit accumsan, massa lorem aliquam metus, vel dignissim nunc nulla ut mi. Suspendisse potenti. In nibh enim, sollicitudin id placerat sed, placerat sed lectus. Nulla consectetur ornare ipsum, et fringilla sem porttitor in. Pellentesque luctus neque a mi tempus dignissim. Ut et erat in nisl consequat congue quis non nibh. Ut eu dui arcu. Aliquam vulputate feugiat orci, id mollis mi euismod eget. Aenean congue, sem vitae auctor imperdiet, ligula tortor convallis sem, in malesuada mi elit a metus. Cras at molestie justo."
10031,Power in Econometric Applications,Journal,Econometrica,2002, 57: 1059–1090,"In mollis ornare leo, vel viverra ligula adipiscing ut. In eros erat, facilisis eget lobortis elementum, interdum a mi. Donec ultrices quam ut magna pulvinar eget tempor ipsum suscipit. Vivamus lacinia, magna ut mattis faucibus, purus felis bibendum orci, nec eleifend mi neque eget augue. Ut lobortis risus at magna scelerisque vitae elementum nisi lacinia. Phasellus libero tellus, rhoncus vitae accumsan nec, rutrum ac risus. Maecenas eget enim felis. Praesent hendrerit nibh vulputate dui tincidunt bibendum. In venenatis facilisis orci sed pulvinar. Donec pretium nunc eu tortor pulvinar malesuada. Cras viverra sollicitudin sollicitudin. Quisque malesuada cursus rhoncus. Sed metus lectus, pretium sit amet sodales eu, imperdiet vel turpis. Praesent aliquam neque id nulla scelerisque ut consectetur ante facilisis. Mauris sapien ligula, hendrerit pharetra vulputate id, eleifend in lectus."
10032,Stability Comparisons of Estimators,Journal,Econometrica,2002, 54: 1207–1235,"Nunc sit amet sem et ante pellentesque vulputate. Proin volutpat posuere commodo. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Sed interdum mauris non nisl hendrerit tincidunt. Vestibulum erat sem, vehicula et blandit id, pretium ac dolor. Phasellus porta venenatis dictum. Aliquam quis sem vel dolor semper commodo. Pellentesque eget libero quis nisi faucibus sodales convallis quis dolor. Cras blandit sem ac justo faucibus fringilla. Suspendisse semper consequat eleifend. Sed et metus eu leo eleifend rutrum sed in eros. Sed non nisi sagittis ante sodales lobortis. Praesent sit amet augue neque. Aliquam vestibulum nisl nec eros tempor tristique. Cras imperdiet eros a metus lacinia tempor. Duis sodales tempus vestibulum."
10033,A Bias-reduced Log-periodogram Regression Estimator of the Long-memory Parameter,Journal,Econometrica,2003,71: 675–712,"Cras nulla orci, tincidunt id bibendum at, fringilla quis magna. Mauris venenatis, magna ut ultricies pharetra, neque libero feugiat quam, vitae convallis lectus est quis libero. Vestibulum eu elit metus. Mauris felis nunc, lobortis nec volutpat ac, fringilla in sapien. Integer sodales scelerisque tempus. Quisque dapibus consectetur tortor, quis aliquet massa lobortis sit amet. Duis ultricies sapien tempor massa tempus vel mollis erat sodales. Nullam pellentesque lorem quis mi vehicula ac rutrum dolor euismod. Fusce interdum ullamcorper volutpat. In ligula lacus, vulputate at semper eu, consectetur at enim."
10034,An Empirical Process Central Limit Theorem for Dependent Non-identically Distributed Random Variables,Journal,Journal of Multivariate Analysis,2003, 38: 187-203,"Nulla facilisi. Fusce condimentum feugiat metus, in lacinia justo ultrices et. Nam feugiat, eros ac tincidunt venenatis, lorem mi sollicitudin metus, vel suscipit libero sapien ac sapien. Integer sit amet justo a purus laoreet viverra. Ut aliquam rutrum lacinia. Nulla laoreet tempus nibh vitae ullamcorper. Donec vel lorem eget nisi iaculis convallis eu vitae purus. Ut blandit rhoncus rutrum. Sed aliquet iaculis mauris sit amet varius. Praesent ac fermentum nunc. Aliquam in nulla est, malesuada egestas turpis. Cras ut felis at nulla varius viverra. Morbi in consequat felis. Duis sit amet eros eget arcu congue facilisis. Proin sed vestibulum felis."
10035,Approximately Median-Unbiased Estimation of Autoregressive Models,Journal,Journal of Business and Economic Statistics,2003, 12: 187-204,"Praesent sit amet purus a lorem vehicula vulputate in at enim. Morbi ultrices interdum nibh eu ultricies. Morbi a ipsum dolor. Proin egestas malesuada leo, consequat vulputate est tincidunt in. Aliquam id ligula vitae enim vulputate interdum sed in sem. Etiam consectetur, velit vitae luctus tincidunt, quam velit rhoncus lectus, eget vehicula massa velit eu libero. Aliquam suscipit vestibulum enim. Nullam euismod sollicitudin turpis, vel volutpat sem elementum in. Nullam sed mauris tortor. Phasellus sit amet purus purus, in luctus metus. Mauris tempus cursus convallis. Etiam dictum dapibus magna, id hendrerit justo commodo eleifend."
10036,Asymptotic Optimality of Generalized CL Cross-validation and Generalized Cross-validation in Regression with Heteroskedastic Errors,Journal,Journal of Econometrics,2003, 47: 359-377,"Sed nunc nibh, gravida scelerisque facilisis sed, pellentesque ac urna. Suspendisse sit amet hendrerit metus. Vestibulum eget fermentum urna. Nullam sed urna ipsum. Proin blandit velit vel massa fermentum tempus. Nullam volutpat tortor a magna tincidunt at luctus mi ultricies. Phasellus libero diam, rhoncus sed condimentum eu, ultricies et orci. Cras et velit scelerisque purus egestas congue. Morbi tempus augue vel sem tempus porttitor."
10037,Chi-Square Diagnostic Tests for Econometric Models: Introduction and Applications,Journal,Journal of Econometrics,2003, 35: 135-156,"In sit amet justo nibh, sed eleifend mi. Proin pulvinar mi mi. In lacinia mauris vel eros pulvinar luctus. Vestibulum ultricies, nunc vitae imperdiet condimentum, tortor lacus molestie leo, et rhoncus neque ligula a sapien. Nulla facilisi. Integer nec diam odio. Aliquam erat volutpat. Nam dolor neque, laoreet id suscipit ut, pretium sed elit. Nunc consectetur rutrum quam, in suscipit tellus porta non. Duis at pretium dui. Etiam neque leo, cursus vehicula porta eget, vehicula sed nunc. Donec vel iaculis nisi. Donec id justo purus, vitae imperdiet odio. Donec sit amet mollis arcu. Praesent at arcu arcu. Aenean nec sapien mi, quis consequat neque."
10038,End-of-sample Instability Tests,Journal,Econometrica,2003, 71: 1661-1694,"Aenean ac fringilla sem. Nulla facilisi. Sed non dui id ante imperdiet aliquet. Nulla facilisi. Ut at mi ut nisl facilisis malesuada. Donec tortor purus, consequat at ornare vel, fringilla sit amet ligula. Vestibulum in dolor elit. Phasellus dignissim elementum ligula, id semper turpis eleifend sed."
10039,Estimation of Polynomial Distributed Lags and Leads with End Point Constraints,Journal,Journal of Econometrics,2003, 53: 123-139,"Nunc porttitor volutpat ipsum ut ullamcorper. Quisque pulvinar lacinia tellus quis auctor. Vivamus adipiscing gravida dolor in sollicitudin. Integer nec mi enim. Morbi placerat tortor a metus faucibus vulputate. Aenean vitae sem arcu, sed accumsan orci. In consequat ultricies erat sit amet pulvinar. Sed bibendum nisi sed nulla cursus ornare. Nullam at nibh aliquam purus lacinia pretium."
